CATEGORIA_PRODUCTO,CODIGO_PRODUCTO,DESCRIPCION_PRODUCTO,PRECIO_BRUTO_PRODUCTO,IVA_PRODUCTO,PRECIO_IVA_PRODUCTO,CANTIDAD ,TIPO_ITEM
LLANTA,HK 623,215/65R16 RF 11 HANKOOK,"357,899",68000.81,"425,900",8,PRODUCTO
LLANTA,LF666,215/65R16  LAUFENN,"247,815",47084.85,"294,900",0,PRODUCTO
LLANTA,TY623,215/65R16 TOYO TIRES,"300,000",57000,"357,000",8,PRODUCTO
LLANTA,KM623,215/65R16 KUMHO,"286,725",54477.75,"341,203",2,PRODUCTO
LLANTA,CZ724,215/65R16  CHAOYANG,"205,798",39101.62,"244,900",6,PRODUCTO
LLANTA,HK621,215/65R16 RA33 HANKOOK,"346,134",65765.46,"411,899",8,PRODUCTO
LLANTA,LF071,225/70R16 HPR04 LD01 X FIT HT LAUFENN,"284,034",53966.46,"338,000",5,PRODUCTO
LLANTA,HK017095-H457,225/55R16 PRO4 H457 HANKOOK,"378,067",71832.73,"449,900",0,PRODUCTO
LLANTA,FK017095,225/55R16 FALKEN,"389,900",74081,"463,981",4,PRODUCTO
LLANTA,HK714-RF11,235/60R16 RF11 HANKOOK,"386,471",73429.49,"459,900",2,PRODUCTO
LLANTA,GL714,235/60R16 GALLANT,"272,749",51822.31,"324,571",4,PRODUCTO
LLANTA,,235/60R16 COMPASAL,"294,117",55882.23,"349,999",0,PRODUCTO
LLANTA,HK634,235/60R16 RA33 HANKOOK,"381,429",72471.51,"453,901",1,PRODUCTO
LLANTA,CZ634,235/60R16 RP26 CHAOYANG,"198,235",37664.65,"235,900",2,PRODUCTO
LLANTA,LF640,235/70R16TPR04 LC01  LAUFENN,"333,370",63340.3,"396,710",0,PRODUCTO
LLANTA,LF722,245/70R16 LLANTA  LC01 LAUFENN,"333,361",63338.59,"396,700",2,PRODUCTO
LLANTA,CP11,245/75R16 COOPER,"489,900",93081,"582,981",4,PRODUCTO
LLANTA,HK711,245/75R16  RF 11 HANKOOK,"500,000",95000,"595,000",0,PRODUCTO
LLANTA,LF 711,245/75R16  LF PRO 10 LAUFENN,"427,647",81252.93,"508,900",0,PRODUCTO
LLANTA,FK702,255/70R16 FALKEN,"439,900",83581,"523,481",5,PRODUCTO
LLANTA,LF702,255/70R16 LAUFENN,"385,630",73269.7,"458,900",0,PRODUCTO
LLANTA,HK702,255/70R16T PR04 RF11 HK,"433,529",82370.51,"515,900",4,PRODUCTO
LLANTA,FR692,265/70R16 FIRESTONE,"464,900",88331,"553,231",2,PRODUCTO
LLANTA,HK 692,265/70R16 HANKOOK,"479,748",91152.12,"570,900",1,PRODUCTO
LLANTA,HK693,265/70R16 RT05 10L HANKOOK,"479,748",91152.12,"570,900",0,PRODUCTO
LLANTA,HK625,265/75R16 RT05 HANKOOK,"673,025",127874.75,"800,900",0,PRODUCTO
LLANTA,LF017078,205/45ZR17W XLPR04 LH01 S FIT AS LAUFENN,"226,807",43093.33,"269,900",0,PRODUCTO
LLANTA,KM017078,205/45R17 KUMHO,"283,089",53786.91,"336,876",4,PRODUCTO
LLANTA,GL017078,205/45R17 GALLANT,"182,270",34631.3,"216,901",4,PRODUCTO
LLANTA ,HK017078,205/45ZR17 HANKOOK K120 XL,"567,983",107916.77,"675,900",4,PRODUCTO
LLANTA,LF098,265/75R16 RT05 LAUFENN,"226,388",43013.72,"269,402",0,PRODUCTO
LLANTA,HK741,205/55R17 HANKOOK 91W,"301,597",57303.43,"358,900",0,PRODUCTO
LLANTA,FK741,205/55R17 FALKEN,"344,900",65531,"410,431",8,PRODUCTO
LLANTA,KM741,205/55R17 KUMHO,"301,229",57233.51,"358,463",4,PRODUCTO
LLANTA ,LF017093,205/50R17 LAUFENN,"226,134",42965.46,"269,099",3,PRODUCTO
LLANTA,VI388,205/55R17 OVATION,"221,428",42071.32,"263,499",0,PRODUCTO
LLANTA,3.98021E+11,205/55R17 HANKOOK,"363,900",69141,"433,041",0,PRODUCTO
LLANTA,HK017093,215/45R17 K120  HANKOOK,"307,479",58421.01,"365,900",5,PRODUCTO
LLANTA,CZ017079,215/45R17 CHAOYANG SA57,"163,782",31118.58,"194,901",6,PRODUCTO
LLANTA,FK047,215/50R17 FALKEN,"397,900",75601,"473,501",4,PRODUCTO
LLANTA,CS047,215/50R17 COSMO,"235,900",44821,"280,721",2,PRODUCTO
LLANTA,LF047,215/45R17 K120 LAUFENN,"239,075",45424.25,"284,499",0,PRODUCTO
LLANTA,LF047 LH01,215/45R17 LAUFENN LH01,"226,134",42965.46,"269,099",4,PRODUCTO
LLANTA,HK104,215/50ZR17W XL PR04 K120 HK,"316,303",60097.57,"376,401",4,PRODUCTO
